Date,Time,Global_active_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4,Season,Anomaly_flag,anomaly
01-01-2024,00:00,223,230,0.97,128,44,51,0,winter,0,0
01-01-2024,00:15,259,230,1.13,179,59,21,0,winter,0,0
01-01-2024,00:30,299,230,1.3,184,48,67,0,winter,0,0
01-01-2024,00:45,245,230,1.07,141,30,74,0,winter,0,0
01-01-2024,01:00,256,230,1.11,157,44,55,0,winter,0,0
01-01-2024,01:15,292,230,1.27,180,59,53,0,winter,0,0
01-01-2024,01:30,253,230,1.1,156,38,59,0,winter,0,0
01-01-2024,01:45,267,230,1.16,163,51,53,0,winter,0,0
01-01-2024,02:00,238,230,1.03,150,59,29,0,winter,0,0
01-01-2024,02:15,297,230,1.29,177,40,80,0,winter,0,0
01-01-2024,02:30,242,230,1.05,151,64,27,0,winter,0,0
01-01-2024,02:45,244,230,1.06,164,34,46,0,winter,0,0
01-01-2024,03:00,212,230,0.92,127,36,49,0,winter,0,0
01-01-2024,03:15,239,230,1.04,135,48,56,0,winter,0,0
01-01-2024,03:30,271,230,1.18,149,67,55,0,winter,0,0
01-01-2024,03:45,258,230,1.12,172,43,43,0,winter,0,0
01-01-2024,04:00,240,230,1.04,168,30,42,0,winter,0,0
01-01-2024,04:15,267,230,1.16,181,46,40,0,winter,0,0
01-01-2024,04:30,260,230,1.13,161,36,63,0,winter,0,0
01-01-2024,04:45,237,230,1.03,151,41,45,0,winter,0,0
01-01-2024,05:00,1286,230,5.59,160,61,65,1000,winter,0,0
01-01-2024,05:15,278,230,1.21,134,64,80,0,winter,0,0
01-01-2024,05:30,1752,230,7.62,168,52,32,1500,winter,0,0
01-01-2024,05:45,1253,230,5.45,173,39,41,1000,winter,0,0
01-01-2024,06:00,225,230,0.98,136,39,50,0,winter,0,0
01-01-2024,06:15,279,230,1.21,199,50,30,0,winter,0,0
01-01-2024,06:30,1221,230,5.31,138,62,21,1000,winter,0,0
01-01-2024,06:45,281,230,1.22,173,45,63,0,winter,0,0
01-01-2024,07:00,2262,230,9.83,23,38,1201,1000,winter,0,1
01-01-2024,07:15,2197,230,9.55,24,38,1135,1000,winter,0,1
01-01-2024,07:30,2937,230,4.07,51,60,826,2000,winter,1,1
01-01-2024,07:45,2727,230,11.86,23,65,1139,1500,winter,0,1
01-01-2024,08:00,921,230,4.0,42,30,849,0,winter,0,0
01-01-2024,08:15,1307,230,5.68,39,42,1226,0,winter,0,0
01-01-2024,08:30,895,230,3.89,23,39,833,0,winter,0,0
01-01-2024,08:45,1499,230,6.52,41,56,1402,0,winter,0,0
01-01-2024,09:00,175,230,0.76,31,68,76,0,winter,0,0
01-01-2024,09:15,2162,230,0.7,33,57,72,2000,winter,1,1
01-01-2024,09:30,142,230,0.62,20,46,76,0,winter,0,0
01-01-2024,09:45,149,230,0.65,28,48,73,0,winter,0,0
01-01-2024,10:00,2147,230,0.64,52,40,55,2000,winter,1,1
01-01-2024,10:15,122,230,0.53,53,45,24,0,winter,0,0
01-01-2024,10:30,132,230,0.57,22,43,67,0,winter,0,0
01-01-2024,10:45,123,230,0.53,56,32,35,0,winter,0,0
01-01-2024,11:00,182,230,0.79,43,64,75,0,winter,0,0
01-01-2024,11:15,199,230,0.87,59,63,77,0,winter,0,0
01-01-2024,11:30,125,230,0.54,29,39,57,0,winter,0,0
01-01-2024,11:45,2093,230,0.4,22,47,24,2000,winter,1,1
01-01-2024,12:00,1539,230,6.69,60,40,1439,0,winter,0,0
01-01-2024,12:15,1179,230,5.13,22,40,1117,0,winter,0,0
01-01-2024,12:30,1564,230,6.8,27,68,1469,0,winter,0,0
01-01-2024,12:45,1356,230,5.9,57,64,1235,0,winter,0,0
01-01-2024,13:00,1006,230,4.37,58,65,883,0,winter,0,0
01-01-2024,13:15,962,230,4.18,43,69,850,0,winter,0,0
01-01-2024,13:30,1021,230,4.44,35,45,941,0,winter,0,0
01-01-2024,13:45,1128,230,4.9,50,45,1033,0,winter,0,0
01-01-2024,14:00,145,230,0.63,40,41,64,0,winter,0,0
01-01-2024,14:15,158,230,0.69,60,63,35,0,winter,0,0
01-01-2024,14:30,120,230,0.52,29,64,27,0,winter,0,0
01-01-2024,14:45,158,230,0.69,28,59,71,0,winter,0,0
01-01-2024,15:00,2183,230,0.8,41,66,76,2000,winter,1,1
01-01-2024,15:15,127,230,0.55,40,38,49,0,winter,0,0
01-01-2024,15:30,169,230,0.73,25,69,75,0,winter,0,0
01-01-2024,15:45,163,230,0.71,35,63,65,0,winter,0,0
01-01-2024,16:00,120,230,0.52,39,40,41,0,winter,0,0
01-01-2024,16:15,132,230,0.57,49,63,20,0,winter,0,0
01-01-2024,16:30,91,230,0.4,25,46,20,0,winter,0,0
01-01-2024,16:45,140,230,0.61,30,65,45,0,winter,0,0
01-01-2024,17:00,127,230,0.55,48,32,47,0,winter,0,0
01-01-2024,17:15,133,230,0.58,43,36,54,0,winter,0,0
01-01-2024,17:30,116,230,0.5,37,31,48,0,winter,0,0
01-01-2024,17:45,187,230,0.81,46,62,79,0,winter,0,0
01-01-2024,18:00,204,230,0.89,27,116,61,0,winter,0,0
01-01-2024,18:15,248,230,1.08,47,175,26,0,winter,0,0
01-01-2024,18:30,189,230,0.82,20,131,38,0,winter,0,0
01-01-2024,18:45,255,230,1.11,41,152,62,0,winter,0,0
01-01-2024,19:00,1483,230,6.45,43,118,1322,0,winter,0,0
01-01-2024,19:15,1130,230,4.91,22,117,991,0,winter,0,0
01-01-2024,19:30,1290,230,5.61,39,124,1127,0,winter,0,0
01-01-2024,19:45,1296,230,5.63,23,184,1089,0,winter,0,0
01-01-2024,20:00,1115,230,4.85,40,196,879,0,winter,0,0
01-01-2024,20:15,1458,230,6.34,44,153,1261,0,winter,0,0
01-01-2024,20:30,1433,230,6.23,28,108,1297,0,winter,0,0
01-01-2024,20:45,1306,230,5.68,28,195,1083,0,winter,0,0
01-01-2024,21:00,200,230,0.87,50,113,37,0,winter,0,0
01-01-2024,21:15,200,230,0.87,43,125,32,0,winter,0,0
01-01-2024,21:30,215,230,0.93,31,104,80,0,winter,0,0
01-01-2024,21:45,2237,230,1.03,33,142,62,2000,winter,1,1
01-01-2024,22:00,381,230,1.66,124,191,66,0,winter,0,0
01-01-2024,22:15,346,230,1.5,153,117,76,0,winter,0,0
01-01-2024,22:30,273,230,1.19,140,103,30,0,winter,0,0
01-01-2024,22:45,361,230,1.57,196,126,39,0,winter,0,0
01-01-2024,23:00,312,230,1.36,188,51,73,0,winter,0,0
01-01-2024,23:15,242,230,1.05,126,46,70,0,winter,0,0
01-01-2024,23:30,247,230,1.07,139,70,38,0,winter,0,0
01-01-2024,23:45,248,230,1.08,144,39,65,0,winter,0,0
02-01-2024,00:00,306,230,1.33,162,70,74,0,winter,0,0
02-01-2024,00:15,242,230,1.05,145,66,31,0,winter,0,0
02-01-2024,00:30,285,230,1.24,168,43,74,0,winter,0,0
02-01-2024,00:45,270,230,1.17,157,43,70,0,winter,0,0
02-01-2024,01:00,301,230,1.31,172,65,64,0,winter,0,0
02-01-2024,01:15,242,230,1.05,138,37,67,0,winter,0,0
02-01-2024,01:30,220,230,0.96,131,58,31,0,winter,0,0
02-01-2024,01:45,326,230,1.42,193,67,66,0,winter,0,0
02-01-2024,02:00,208,230,0.9,123,48,37,0,winter,0,0
02-01-2024,02:15,250,230,1.09,140,37,73,0,winter,0,0
02-01-2024,02:30,293,230,1.27,186,31,76,0,winter,0,0
02-01-2024,02:45,254,230,1.1,129,52,73,0,winter,0,0
02-01-2024,03:00,224,230,0.97,160,34,30,0,winter,0,0
02-01-2024,03:15,205,230,0.89,127,58,20,0,winter,0,0
02-01-2024,03:30,262,230,1.14,177,34,51,0,winter,0,0
02-01-2024,03:45,225,230,0.98,134,70,21,0,winter,0,0
02-01-2024,04:00,276,230,1.2,186,47,43,0,winter,0,0
02-01-2024,04:15,279,230,1.21,162,39,78,0,winter,0,0
02-01-2024,04:30,250,230,1.09,124,58,68,0,winter,0,0
02-01-2024,04:45,302,230,1.31,176,64,62,0,winter,0,0
02-01-2024,05:00,1697,230,7.38,131,34,32,1500,winter,0,0
02-01-2024,05:15,1779,230,7.73,186,57,36,1500,winter,0,0
02-01-2024,05:30,1744,230,7.58,171,45,28,1500,winter,0,0
02-01-2024,05:45,1277,230,5.55,162,50,65,1000,winter,0,0
02-01-2024,06:00,1738,230,7.56,180,36,22,1500,winter,0,0
02-01-2024,06:15,1736,230,7.55,141,49,46,1500,winter,0,0
02-01-2024,06:30,1244,230,5.41,176,35,33,1000,winter,0,0
02-01-2024,06:45,1730,230,7.52,174,30,26,1500,winter,0,0
02-01-2024,07:00,2265,230,9.85,36,37,1192,1000,winter,0,1
02-01-2024,07:15,1132,230,4.92,42,49,1041,0,winter,0,0
02-01-2024,07:30,3002,230,13.05,59,31,1412,1500,winter,0,1
02-01-2024,07:45,2468,230,10.73,51,65,852,1500,winter,0,1
02-01-2024,08:00,1508,230,6.56,22,33,1453,0,winter,0,0
02-01-2024,08:15,974,230,4.23,46,66,862,0,winter,0,0
